Type,Bed,Bath,Size,BER,Asking Price,Not Full Market Price,VAT Exclusive,latitude,longitude,ifsc_drive_distance_km,ifsc_walk_distance_km,ifsc_bike_distance_km,ifsc_transit_distance_km,Airport_distance_km,nearest_coast_name,coast_distance_km,eircode_area,month_sin,month_cos,day_sin,day_cos,Price_Difference_%
Bungalow,3.0,3.0,101.0,G,895000.0,No,No,53.3197736,-6.2150422,4.615,4.618,5.119,5.977,18.63,Sandymount Strand,2.378,D04,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,4.4692737430167595
Semi-D,3.0,1.0,94.0,E1,650000.0,No,No,53.3153656,-6.2882185,6.671,5.748,5.757,6.198,29.398,Ringsend,5.957,D6W,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,4.0
Duplex,3.0,3.0,90.0,B2,495000.0,No,No,53.28085129999999,-6.2741517,12.445,9.858,11.404,10.478,29.247,Blackrock,9.538,D16,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,8.484848484848486
Terrace,3.0,2.0,115.0,E1,650000.0,No,No,53.3614779,-6.2571636,2.168,2.167,2.203,3.302,9.189,Ringsend,3.957,D03,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,26.153846153846157
Terrace,4.0,3.0,144.7,B3,785000.0,No,No,53.2912568,-6.2775344,10.754,8.668,9.238,11.727,30.548,Sandymount Strand,9.312,D14,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,8.280254777070063
Semi-D,4.0,3.0,155.0,B3,950000.0,No,No,53.2922132,-6.159057799999999,10.533,10.065,10.186,10.714,23.153,Monkstown,0.964,A94,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,13.684210526315791
Apartment,2.0,1.0,63.0,D1,585000.0,No,No,53.3263016,-6.2195624,4.336,4.339,4.841,5.544,18.352,Sandymount Strand,2.434,D04,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,-1.7094017094017095
Semi-D,3.0,2.0,89.0,G,495000.0,No,No,53.4945794,-6.1925011,19.448,18.314,18.817,23.188,12.561,Ringsend,20.448,K36,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,3.0303030303030303
Detached,5.0,3.0,250.0,C1,945000.0,No,No,53.2791365,-6.2324171,11.078,9.499,9.717,9.791,35.513,Blackrock,7.426,D16,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,20.634920634920633
Bungalow,5.0,3.0,228.0,B3,985000.0,No,No,53.39021529999999,-6.1236922,11.067,10.379,11.149,11.751,14.054,Howth Head,4.524,D13,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,4.060913705583756
Semi-D,4.0,3.0,154.0,C3,645000.0,No,No,53.2784072,-6.320478,34.318,11.064,11.702,11.428,26.578,Blackrock,14.559,D16,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,4.651162790697675
Terrace,4.0,3.0,140.5,B3,475000.0,No,No,53.4042853,-6.171660999999999,13.727,8.735,8.707,9.336,10.634,Bull Island,7.797,D13,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,0.0
Semi-D,3.0,2.0,119.0,E1,635000.0,No,No,53.3126506,-6.314479899999999,8.426,7.272,7.512,12.15,24.805,Ringsend,7.712,D12,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,0.7874015748031495
Semi-D,6.0,3.0,281.5,C2,1395000.0,No,No,53.3026269,-6.3024347,8.516,7.515,7.574,9.011,27.057,Ringsend,7.802,D6W,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,25.448028673835125
Apartment,2.0,2.0,67.8,B3,250000.0,No,No,53.4027985,-6.2999939,16.836,8.253,8.489,8.997,6.35,Ringsend,17.836,D11,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,12.0
Detached,3.0,2.0,86.0,D1,495000.0,No,No,53.2485851,-6.1341389,15.926,15.202,15.626,18.851,40.943,Killiney Beach,2.15,A96,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,15.95959595959596
Detached,4.0,3.0,146.0,A2,1045000.0,No,No,53.2923637,-6.2419777,8.413,7.584,8.435,8.06,34.787,Blackrock,5.819,D14,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,10.526315789473683
Apartment,2.0,1.0,71.0,D1,375000.0,No,No,53.3441765,-6.2432843,1.453,1.223,1.458,1.223,15.898,Ringsend,1.356,D02,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,12.0
Terrace,3.0,2.0,146.0,C3,895000.0,No,No,53.3217001,-6.2725544,5.316,4.439,4.773,4.899,29.893,Ringsend,4.601,D06,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,31.28491620111732
Apartment,1.0,1.0,52.0,C1,385000.0,No,No,53.45382739999999,-6.1541375,19.86,14.874,15.347,15.619,12.086,Howth Head,13.398,K36,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,9.220779220779221
Semi-D,3.0,1.0,89.0,Unknown,390000.0,No,No,53.3095521,-6.368394299999999,30.701,11.771,12.33,13.227,22.96,Blackrock,19.604,D24,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,15.384615384615385
Apartment,3.0,3.0,155.0,C2,1250000.0,No,No,53.3187867,-6.2094292,6.69,5.17,5.683,6.244,19.31,Sandymount Strand,2.112,D04,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,-6.0
End of Terrace,3.0,3.0,113.0,C2,375000.0,No,No,53.3022457,-6.5023263,35.123,19.349,20.126,21.893,27.383,Blackrock,31.233,D22,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,17.493333333333332
Semi-D,4.0,2.0,116.0,C1,550000.0,No,No,53.2714436,-6.2528317,11.18,10.751,12.133,11.479,32.568,Blackrock,8.515,D16,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,16.0
End of Terrace,2.0,1.0,62.0,G,280000.0,No,No,53.3194284,-6.3051175,7.613,6.232,6.339,6.617,25.128,Ringsend,6.899,D12,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,7.857142857142857
Semi-D,3.0,2.0,114.0,D2,610000.0,No,No,53.308342,-6.322070399999999,9.139,7.982,7.981,9.339,24.403,Ringsend,8.425,D12,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,20.491803278688526
Semi-D,5.0,2.0,190.1,F,1250000.0,No,No,53.3077693,-6.276576599999999,6.849,5.97,6.306,6.304,28.685,Ringsend,6.135,D06,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,12.0
Terrace,3.0,1.0,93.0,G,570000.0,No,No,53.33947999999999,-6.3025801,6.432,4.365,4.543,5.186,22.857,Ringsend,7.172,D08,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,0.17543859649122806
Detached,5.0,3.0,285.0,G,1400000.0,No,No,53.27584419999999,-6.1898772,10.356,10.457,10.445,12.596,35.232,Blackrock,3.814,D18,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,3.5000000000000004
Terrace,2.0,3.0,93.0,C1,475000.0,No,No,53.2984904,-6.3145114,9.128,8.428,8.214,9.844,26.9,Ringsend,8.414,D6W,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,15.789473684210526
Terrace,4.0,1.0,105.0,Unknown,400000.0,No,No,53.3835624,-6.1969407,5.822,5.766,5.756,5.864,9.503,Clontarf Seafront,3.182,D05,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,15.25
Apartment,3.0,2.0,86.0,D1,595000.0,No,No,53.3452698,-6.2362271,1.168,1.167,1.173,1.167,15.612,Ringsend,1.831,D02,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,0.0
Semi-D,3.0,1.0,106.0,D2,640000.0,No,No,53.270605,-6.1451821,13.172,12.308,13.381,15.571,43.129,Killiney Beach,3.622,A96,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,0.0
Duplex,2.0,3.0,93.0,Unknown,340000.0,No,No,53.337233,-6.4606961,30.088,15.938,16.954,20.018,22.347,Ringsend,31.087,K78,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,2.941176470588235
Terrace,2.0,1.0,57.0,Unknown,525000.0,No,No,53.32678989999999,-6.2133959,5.123,4.311,4.313,4.473,17.743,Sandymount Strand,0.714,D04,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,9.523809523809524
Apartment,2.0,1.0,82.5,C1,425000.0,No,No,53.3852152,-6.142865899999999,9.629,8.942,9.711,9.297,13.712,Bull Island,3.956,D05,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,2.3529411764705883
