Address,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price
"76 St Lawrences, Clontarf, Dublin 3, Dublin 3, Dublin",Terrace,7,3,287.0 m²,—,—,10/01/2025,"€1,395,000","€1,300,000"
"Apartment 4 Glenview House, Glenview Lawns, Dublin 24, Dublin",Apartment,3,2,66.3 m²,C3,—,10/01/2025,"€230,000","€253,000"
"6 Norwood, Shanganagh Rd, Shankill, Dublin",Bungalow,3,1,85.0 m²,C3,—,10/01/2025,"€595,000","€595,000"
"115 St Brigids Grove, Killester, Dublin 5, Dublin 5, Dublin",Terrace,2,1,64.0 m²,—,—,13/01/2025,"€395,000","€460,000"
"St Josephs, 78 Lower Drumcondra Rd, Dublin 9, Dublin 9, Dublin",Terrace,4,2,198.0 m²,E1,—,13/01/2025,"€795,000","€855,000"
"16 Long Lane, Dublin 8, Dublin, Dublin 8, Dublin",Bungalow,—,1,67.0 m²,C3,—,13/01/2025,"€595,000","€645,000"
"34 Bayview Close, Killiney, Dublin, Dublin",Semi-D,3,1,110.0 m²,D1,—,13/01/2025,"€694,950","€685,000"
"Apt 1, 2 Waterloo Road, Dublin 4, Dublin 4, Dublin",Apartment,1,1,32.0 m²,E2,—,13/01/2025,"€349,000","€350,000"
"31 Old Court Ave, Firhouse, Dublin 24, Dublin 24, Dublin",Semi-D,3,2,144.0 m²,B3,—,13/01/2025,"€495,000","€510,000"
"32 Casement Grove, Finglas West, Dublin 11, Dublin 11, Dublin",Terrace,3,2,80.0 m²,C1,—,13/01/2025,"€299,000","€327,000"
"31 Verschoyle Glen, Saggart, Citywest Dublin 24, Dublin 24, Dublin",Semi-D,3,3,101.0 m²,C1,—,13/01/2025,"€400,000","€427,000"
"10 Meadowview, Sarsfield Rd, Inchicore Dublin 8, Dublin 10, Dublin",End of Terrace,3,1,102.0 m²,—,—,13/01/2025,"€345,000","€475,000"
"41 Holly Rd, Donnycarney, Dublin 9, Dublin 9, Dublin",Terrace,2,1,70.0 m²,D1,—,13/01/2025,"€430,000","€455,000"
"38 Crosbie House, Northbrook Ave, Ranelagh Dublin 6, Dublin 6, Dublin",Apartment,1,1,37.0 m²,—,—,13/01/2025,"€320,000","€277,000"
"4 Hillcrest Manor, Templeogue Rd, Templeogue Dublin 6w, Dublin",Terrace,3,2,92.0 m²,C1,—,13/01/2025,"€425,000","€512,000"
"25 Grove Park Ave, Finglas East, Dublin 11, Dublin 11, Dublin",Semi-D,3,2,108.0 m²,D2,—,13/01/2025,"€475,000","€555,000"
"42 Westgate, St Augustine St, Christchurch Dublin 8, Dublin 8, Dublin",Apartment,2,1,45.0 m²,C3,—,13/01/2025,"€285,000","€328,500"
"Harbour View, Talbot Lane, Killiney, Dublin",House,3,2,105.6 m²,D2,—,13/01/2025,"€795,000","€830,000"
"47 The Steeples, Chapelizod, Dublin 20, Dublin 20, Dublin",Apartment,2,1,61.0 m²,C2,—,13/01/2025,"€280,000","€327,000"
"110 Kincora Grove, Clontarf, Dublin 3, Dublin 3, Dublin",Semi-D,5,1,142.0 m²,E2,—,13/01/2025,"€795,000","€845,000"
"37 Monksfield Grove, Clondalkin, Dublin 22, Dublin 22, Dublin",Terrace,3,1,75.8 m²,C1,—,13/01/2025,"€315,000","€375,000"
"49 Rosehaven, Carpenterstown Rd, Castleknock Dublin 15, Dublin 15, Dublin",Apartment,2,2,70.3 m²,B3,—,13/01/2025,"€300,000","€389,000"
"16 Railway Rd, Dalkey, Dublin, Dublin",Terrace,4,1,170.0 m²,—,—,13/01/2025,"€1,500,000","€1,585,000"
"31 Church Road, Ballybrack Co Dublin, Dublin",Bungalow,1,1,55.0 m²,G,—,13/01/2025,"€385,000","€400,000"
"199 Pembroke Sq, The Berkley, Dublin 4, Dublin 4, Dublin",Apartment,4,3,110.0 m²,D2,—,13/01/2025,"€750,000","€736,000"
"13 Kilmartin Gardens, Fettercairn Tallaght, Dublin 24, Dublin 24, Dublin",End of Terrace,3,1,81.9 m²,G,—,14/01/2025,"€260,000","€300,000"
"6 Mount Argus Grove, Harolds Cross, Dublin 6w, Dublin",Semi-D,4,2,152.0 m²,D2,—,14/01/2025,"€595,000","€720,000"
"Apartment 92, Gleann Na Ri, Druid Valley, Dublin",Apartment,3,2,83.0 m²,C1,—,14/01/2025,"€390,000","€421,000"
"39 Highfield Crescent, Swords, Dublin, Dublin",Semi-D,4,3,99.0 m²,C1,—,14/01/2025,"€645,000","€645,000"
"48 Orchardstown Dr, Templeogue, Dublin 14, Dublin 14, Dublin",Semi-D,3,2,110.0 m²,E2,—,14/01/2025,"€625,000","€670,000"
"2 The Orchard, 112 Booterstown Ave, Blackrock, Dublin",Apartment,1,1,61.0 m²,E2,—,14/01/2025,"€295,000","€375,000"
"3 Whitehall Rd, Terenure, Dublin 12, Dublin 12, Dublin",Semi-D,4,3,197.0 m²,C1,—,14/01/2025,"€995,000","€1,160,000"
"49 Orwell Gardens, Dublin 14, Dublin, Dublin 14, Dublin",Semi-D,3,1,69.0 m²,D2,—,14/01/2025,"€545,000","€537,000"
"72 Milltown Ave, Milltown, Dublin 6, Dublin 6, Dublin",Apartment,2,2,83.0 m²,C1,—,14/01/2025,"€580,000","€665,000"
"1 Whitechapel Green, Blanchardstown, Dublin, Dublin 15, Dublin",End of Terrace,3,1,83.7 m²,C3,—,14/01/2025,"€330,000","€363,000"
"109 Adamstown Ave, Adamstown, Lucan, Dublin",Apartment,2,3,93.0 m²,B1,—,14/01/2025,"€350,000","€357,000"
"161 Foxfield Grove, Raheny, Dublin 5, Dublin 5, Dublin",Semi-D,5,2,140.0 m²,E1,—,14/01/2025,"€725,000","€795,000"
"Avondale, Damastown, Naul, Dublin",Bungalow,5,3,186.5 m²,C1,—,14/01/2025,"€710,000","€710,000"
"114 Corrib Road, Terenure, Dublin 6w, Dublin 6w, Dublin",Semi-D,3,2,70.0 m²,C3,—,14/01/2025,"€575,000","€610,000"
"3 Newcastle Manor Place, Newcastle, Dublin 22, Dublin 22, Dublin",Apartment,2,1,57.0 m²,C1,—,14/01/2025,"€235,000","€295,000"
"23 Russell Meadows, Russell Sq, Tallaght Dublin 24, Dublin 24, Dublin",Terrace,3,2,81.0 m²,—,—,14/01/2025,"€250,000","€247,000"
"16 Laurel House, Carrickmines Green, Carrickmines, Dublin",Apartment,2,2,59.5 m²,—,—,14/01/2025,"€295,000","€291,630"
"68 Cooleen Ave, Beaumont, Dublin 9, Dublin 9, Dublin",Semi-D,5,2,138.0 m²,—,—,14/01/2025,"€495,000","€520,000"
"54 St Anthonys Crescent, Greenhills, Dublin 12, Dublin 12, Dublin",Terrace,3,1,86.0 m²,E1,—,14/01/2025,"€395,000","€465,000"
"3 Royal Canal Court, Phibsborough, Dublin 7, Dublin 7, Dublin",End of Terrace,3,1,80.0 m²,D1,—,14/01/2025,"€395,000","€420,000"
"80 Avondale Park, Raheny, Dublin 5, Dublin 5, Dublin",Terrace,3,2,91.1 m²,—,—,14/01/2025,"€580,000","€710,000"
